brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
WAVE,Kit 3 Pares Tênis Academia Esportivo Masculino Molas Wave 20,219,92,31,42,,
,Tenis  Masculino Promoção  Lançamento Original  Confortável.,69,90,52,25,4.5,(483)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,90,10,68,4.5,(2679)
UNDER ARMOUR,Tênis Under Armour Masculino Caminhada Corrida Academia Reps,649,99,63,02,,
OLYMPIKUS,Tênis Olympikus Inverse Cinza Claro - Masculino,349,99,332,49,,
PUMA,Puma Smash V2 L Masculino Adultos,349,99,290,49,5.0,(8)
OLYMPIKUS,Olympikus Corre Vento 2 Corrida Ultraleve -- Original,389,90,38,99,,
FILA,Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original,374,99,233,99,4.9,(41)
DM DAMANDO,Tenis Masculino Esportivo Black Academia Corrida Caminhada,72,90,45,60,4.4,(65)
OLYMPIKUS,Tênis Olympikus Volt Lançamento Original Caminhada Academia,229,99,158,69,4.7,(1173)
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,64,90,6,31,4.5,(493)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,7,68,4.4,(3083)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,159,90,4.8,(56)
OLYMPIKUS,Olympikus Marez Masculino Adultos,349,99,227,90,4.9,(509)
BF SHOES,Tênis Bf Shoes Olimp Masculino Esportivo Caminhada Branco,99,90,60,83,4.6,(7971)
OLYMPIKUS,Tênis Masculino Olympikus Volcan Academia Corrida Original,249,99,189,99,4.6,(34)
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,05,360,01,4.8,(147)
,Tênis Esporte Masculino Pronta Entrega Barato,66,90,63,55,4.4,(1570)
OLYMPIKUS,Tênis Masculino Adulto Academia Esporte Caminhada Olympikus,224,99,175,49,4.5,(10)
